age,educational-num,capital-gain,capital-loss,hours-per-week,workclass
59,9,0,0,40,Private
29,10,0,0,40,Private
47,7,0,0,45,Private
64,9,0,0,50,Self-emp-inc
21,9,0,0,20,Private
32,10,0,0,40,Private
26,9,0,0,37,Private
62,14,0,0,40,Self-emp-not-inc
32,13,0,0,55,Private
45,9,0,0,60,Self-emp-not-inc
31,13,0,1887,50,Private
32,9,2580,0,40,Private
24,13,0,0,40,Private
25,13,0,0,40,Private
41,9,0,0,60,Self-emp-not-inc
18,10,0,0,20,Private
44,16,0,0,55,Private
40,10,3411,0,50,Private
27,13,0,0,40,Private
23,13,0,0,40,Private
21,10,2174,0,40,Private
37,9,0,0,40,State-gov
65,9,0,0,48,Self-emp-not-inc
43,14,0,0,40,Federal-gov
45,9,0,0,44,Private
24,13,0,0,40,State-gov
24,10,0,0,42,Private
19,10,0,1721,35,Local-gov
37,13,0,0,65,Private
24,9,0,0,35,Private
34,10,0,0,40,Private
50,9,0,0,39,State-gov
36,9,0,0,40,Private
39,13,0,0,60,Private
44,4,0,0,38,Self-emp-not-inc
45,9,0,0,40,State-gov
32,7,0,0,40,State-gov
47,14,0,0,40,Federal-gov
50,9,0,0,40,Private
32,11,0,0,40,Private
19,9,0,0,40,Private
28,9,0,0,50,Private
39,14,0,0,40,Federal-gov
21,10,2907,0,40,Private
73,10,0,0,75,Self-emp-not-inc
39,4,4508,0,40,Private
25,10,0,0,40,Private
31,10,0,0,20,Private
51,10,0,0,32,Private
39,13,0,0,28,Private
31,13,0,0,40,Private
21,10,0,0,17,Private
46,13,27828,0,50,Private
73,9,0,0,35,Private
41,9,0,0,40,Private
20,9,0,0,40,Private
27,12,0,0,30,Private
24,13,0,0,35,Private
20,10,0,0,40,Private
39,11,0,0,40,Private
27,13,0,0,28,Private
33,7,0,0,60,Private
33,9,0,0,40,Private
36,5,0,0,40,State-gov
55,10,0,0,36,Private
19,10,0,0,40,Private
35,9,0,0,60,Private
34,3,0,0,40,Private
62,15,0,0,35,State-gov
33,10,0,0,40,Self-emp-not-inc
39,5,4386,0,55,Private
36,10,0,0,40,Local-gov
41,13,0,0,33,Private
39,9,0,0,60,Self-emp-not-inc
18,9,0,0,10,Private
61,10,15024,0,45,Private
20,11,0,0,36,Federal-gov
35,9,0,0,65,Self-emp-not-inc
27,9,0,0,40,Private
66,6,0,0,38,Private
21,9,0,0,40,Private
20,10,0,0,18,Private
34,10,0,0,40,Private
31,9,0,0,40,Private
41,16,0,2051,60,Private
64,2,0,0,45,State-gov
32,13,0,0,40,Private
30,9,0,0,50,Local-gov
36,13,0,0,72,Self-emp-not-inc
22,10,0,0,12,Private
53,10,0,0,50,Local-gov
50,9,0,0,40,Private
36,13,0,0,40,Private
41,7,0,0,40,Self-emp-inc
55,13,0,0,35,Private
38,13,15024,0,50,Private
28,13,2174,0,50,Private
24,13,0,0,37,Local-gov
60,10,0,0,40,Private
54,6,0,0,40,Private
27,9,0,0,60,Self-emp-inc
30,14,0,0,30,Private
54,9,0,0,45,Private
44,10,5178,0,40,Private
52,9,0,0,60,Private
18,7,0,0,20,Private
55,4,0,0,50,Private
35,13,0,0,50,Private
37,13,0,0,40,Private
22,10,0,0,40,Private
45,13,0,0,45,Private
38,13,0,0,60,Private
48,13,0,0,40,Private
35,11,0,0,40,Private
21,11,0,0,50,Private
37,9,0,0,60,Self-emp-not-inc
18,7,0,0,25,Private
26,6,0,0,35,Private
48,13,0,0,50,Self-emp-inc
51,10,8614,0,40,Private
52,10,0,0,40,Private
32,13,0,0,40,State-gov
39,13,0,0,60,Self-emp-not-inc
51,13,0,0,40,Private
54,13,0,0,50,Private
21,10,0,0,25,Private
43,9,0,0,40,Private
32,10,0,0,40,Private
31,14,0,0,35,State-gov
26,10,0,0,60,Private
35,9,0,0,40,Private
73,3,0,0,54,Private
25,13,0,0,40,Self-emp-not-inc
58,11,0,2377,65,Self-emp-not-inc
32,9,0,0,37,Private
28,13,0,0,40,Private
41,14,0,0,30,Self-emp-not-inc
53,9,0,0,48,Self-emp-not-inc
49,9,0,0,35,Private
55,13,0,0,40,Private
29,10,7298,0,50,Private
28,11,0,0,80,Self-emp-not-inc
44,9,0,0,45,Private
41,14,0,0,45,Private
26,11,3103,0,45,Private
23,9,0,0,40,Private
37,13,0,0,40,Self-emp-not-inc
23,13,13550,0,50,Private
33,10,0,0,40,Private
44,9,0,0,40,Private
21,10,2907,0,30,Private
36,7,0,0,40,Private
44,13,5013,0,40,Local-gov
23,9,0,0,40,Private
26,9,0,0,40,Private
32,3,0,0,40,Private
31,10,0,0,40,Private
50,9,6497,0,35,Local-gov
18,10,0,0,20,Self-emp-inc
49,13,0,0,50,Private
59,9,0,0,40,Private
38,9,0,0,28,Private
50,10,0,0,55,Self-emp-inc
51,10,0,1672,55,Self-emp-inc
22,10,0,0,35,Private
54,9,0,0,40,Private
37,9,0,0,40,Private
31,13,0,0,60,Private
67,13,0,0,40,State-gov
21,10,0,0,40,Private
30,9,0,0,40,Private
32,10,0,0,50,Local-gov
36,11,0,0,40,Private
33,13,0,0,40,Local-gov
37,9,0,0,56,Private
29,15,7298,0,48,Private
26,10,0,0,40,Private
51,4,0,0,40,Private
39,9,0,0,40,Private
18,9,0,0,30,Private
52,8,0,1628,40,Private
31,10,0,0,40,Private
45,13,7298,0,53,Private
38,10,0,0,38,Private
21,12,0,0,35,Private
33,9,0,0,40,Private
39,10,0,0,40,Private
31,9,0,0,40,Private
43,13,0,1902,50,Private
33,13,7298,0,45,Self-emp-inc
49,9,0,0,60,Self-emp-not-inc
41,9,0,0,40,Private
55,10,0,0,40,Self-emp-not-inc
52,10,0,0,37,Private
42,13,0,0,40,Private
24,10,0,0,30,Private
42,9,0,0,52,Private
41,13,7298,0,40,State-gov
35,9,0,0,40,Private
54,14,0,0,42,Federal-gov
24,3,0,0,40,Private
57,13,0,0,40,Federal-gov
58,14,15024,0,40,State-gov
32,9,0,0,40,Private
22,9,1055,0,25,Private
20,9,0,0,25,Private
26,9,0,0,20,Local-gov
33,7,0,0,40,Private
19,6,0,0,40,Private
50,9,15024,0,20,Self-emp-not-inc
32,9,0,0,40,Private
51,13,0,0,40,Local-gov
18,10,0,0,20,Private
35,14,0,0,50,Federal-gov
46,9,0,0,55,Private
37,9,0,0,45,Private
45,10,0,1902,20,Private
63,5,0,0,32,Private
53,9,0,0,10,Private
24,9,0,0,40,Private
47,9,0,0,40,Private
41,9,0,0,40,Private
27,9,6849,0,40,Private
35,9,0,0,75,Self-emp-inc
19,10,0,0,24,Private
47,10,0,0,35,Private
25,13,0,1590,40,Federal-gov
59,15,0,0,40,Local-gov
28,6,0,0,40,Private
17,6,0,0,20,Private
21,10,2463,0,50,Private
31,9,0,0,40,Private
49,9,0,0,40,Private
48,14,7688,0,50,Local-gov
60,16,0,0,20,Self-emp-not-inc
33,8,0,0,40,Self-emp-not-inc
40,9,0,0,40,Private
42,10,0,0,52,Private
34,9,5013,0,40,Private
38,11,0,0,52,Federal-gov
58,10,0,0,70,Self-emp-not-inc
52,10,0,0,55,Private
22,10,0,0,40,Local-gov
24,13,0,0,35,Private
39,9,0,0,40,Private
41,14,99999,0,55,Private
56,5,2580,0,40,Private
21,9,0,0,40,Private
29,9,0,0,25,Private
45,11,0,0,10,Private
44,10,0,0,80,Local-gov
54,14,0,0,45,Private
24,10,2174,0,40,Private
40,13,0,0,50,Private
43,13,99999,0,60,State-gov
41,7,0,0,40,Self-emp-not-inc
32,11,0,0,40,Private
31,13,0,0,25,Private
26,9,0,0,40,Private
50,13,0,0,40,State-gov
62,11,3137,0,40,Self-emp-inc
24,9,2885,0,45,Private
58,13,0,0,65,Private
44,10,0,0,40,Self-emp-inc
44,8,0,0,40,Private
37,10,0,0,50,Self-emp-inc
65,4,2964,0,40,Self-emp-not-inc
33,9,0,0,40,Private
56,14,0,0,60,Self-emp-not-inc
35,14,0,1977,48,Private
33,13,0,1741,40,Private
35,13,0,0,48,Private
47,10,0,0,60,Self-emp-not-inc
35,5,0,0,96,Self-emp-not-inc
56,10,0,0,40,Private
29,14,0,0,40,Self-emp-inc
53,15,7298,0,50,Self-emp-inc
42,11,0,0,25,Private
24,13,0,0,50,Private
33,9,0,0,40,Private
42,6,0,0,45,Private
38,10,0,1887,50,State-gov
32,9,0,0,40,Private
20,4,0,0,20,Self-emp-not-inc
32,9,0,0,50,Private
28,10,0,0,40,Local-gov
51,9,0,0,55,Private
41,9,0,0,30,Local-gov
37,12,0,0,50,Local-gov
23,9,0,0,40,Private
40,9,0,0,40,Private
47,6,0,0,40,Private
46,9,0,0,50,Self-emp-not-inc
24,13,0,0,40,Private
40,9,0,0,28,Private
30,9,0,0,60,Self-emp-not-inc
41,15,0,0,52,State-gov
37,13,0,0,45,State-gov
49,9,0,0,40,Federal-gov
41,13,0,0,50,Federal-gov
52,11,0,0,35,Local-gov
23,10,0,0,50,Private
34,9,1471,0,40,Private
25,13,0,2444,40,State-gov
44,9,0,0,45,Self-emp-inc
31,9,0,0,33,Local-gov
53,13,0,0,40,Private
62,9,0,0,50,Private
35,13,0,1876,55,Private
30,13,0,0,40,Federal-gov
48,9,0,0,40,State-gov
36,13,0,0,40,Private
32,7,0,0,33,Private
22,10,0,0,28,Private
19,9,0,0,40,Private
26,9,0,0,40,Private
56,10,0,0,35,State-gov
45,4,0,0,21,Private
23,10,0,0,40,Private
31,9,0,0,40,Private
30,7,0,0,8,Private
42,9,5013,0,35,Private
27,15,0,0,60,State-gov
37,13,0,0,50,Private
31,9,0,0,60,Private
33,13,0,0,40,Private
64,1,0,0,40,Private
32,9,0,0,40,Private
37,10,0,0,40,Private
25,7,0,0,40,Private
49,9,4064,0,40,Private
36,13,0,1902,40,Private
67,10,10566,0,15,Private
54,9,0,0,40,Private
45,16,0,0,40,Local-gov
30,10,0,0,40,Private
39,9,0,0,40,State-gov
57,6,0,0,20,Private
57,6,0,0,40,Private
23,9,0,0,40,Self-emp-not-inc
49,9,0,0,40,Local-gov
46,13,0,0,10,State-gov
41,13,0,0,43,State-gov
44,11,0,0,45,Private
25,13,2463,0,30,Private
34,13,0,0,45,Local-gov
24,13,0,0,25,Private
32,13,0,0,45,Private
27,9,0,0,50,Local-gov
67,8,0,0,40,Private
36,9,0,0,40,Private
40,10,0,1408,48,Private
24,9,0,0,40,Private
46,13,0,1902,40,Private
44,9,0,0,38,State-gov
23,10,0,0,40,Self-emp-not-inc
46,15,0,0,90,Private
31,11,0,0,40,Private
21,10,0,0,40,Local-gov
61,9,0,0,40,Private
71,9,0,0,15,Self-emp-not-inc
42,13,0,0,40,Private
21,10,0,0,16,State-gov
21,1,0,0,25,Private
28,13,2354,0,60,Local-gov
27,12,0,0,37,Local-gov
32,10,0,2001,25,Private
47,9,0,0,40,Private
22,12,0,0,35,Private
56,9,0,0,40,Private
20,9,0,0,40,Private
30,10,0,0,40,Private
22,10,0,0,25,Private
28,11,7688,0,45,Private
50,14,0,0,55,Private
66,9,1424,0,10,State-gov
38,10,0,0,46,Private
62,8,0,0,30,Private
36,14,0,0,40,Federal-gov
47,6,0,0,35,Private
25,9,0,0,40,Private
26,10,0,0,40,Private
37,7,0,0,40,Private
70,4,0,0,8,Self-emp-not-inc
52,7,0,0,40,Private
70,5,0,0,18,Private
19,9,0,0,40,State-gov
23,7,0,0,3,Private
37,7,0,0,40,Private
45,10,0,0,40,State-gov
29,13,0,0,50,Private
56,13,0,0,20,Self-emp-not-inc
50,14,0,0,40,Private
20,9,0,2001,30,Private
26,13,0,0,40,Private
41,15,0,2415,60,Self-emp-inc
21,9,0,0,40,Private
48,3,0,2042,50,Self-emp-not-inc
22,10,0,0,40,Private
37,12,0,0,35,State-gov
47,10,0,0,30,Private
61,13,0,0,40,Private
47,14,0,0,40,Local-gov
37,9,0,0,25,Private
46,11,0,0,40,State-gov
42,9,0,0,48,Self-emp-not-inc
41,9,0,0,40,Private
33,5,0,0,40,Local-gov
27,12,0,0,40,Private
40,13,0,0,39,Federal-gov
56,6,0,0,40,Private
35,16,0,0,55,Federal-gov
24,11,0,0,40,Private
73,10,0,0,1,Self-emp-not-inc
36,10,0,0,50,Private
31,13,0,0,50,Private
36,9,0,0,40,Private
37,9,0,0,40,Private
26,13,0,0,55,Private
20,9,0,0,40,Private
58,13,0,0,40,Private
45,13,0,0,40,State-gov
31,13,0,0,40,Private
44,15,99999,0,60,Private
19,10,0,0,30,Local-gov
54,9,0,0,50,Private
31,14,0,1740,40,State-gov
27,9,0,0,35,Private
36,10,5178,0,40,Private
47,10,0,1876,40,Federal-gov
35,13,0,0,45,Private
42,2,0,0,55,Private
45,13,0,0,40,Private
70,9,1455,0,40,Private
27,8,0,0,44,Local-gov
36,9,0,0,60,Private
23,9,0,0,40,Private
25,13,0,0,50,Private
45,10,7688,0,45,Self-emp-not-inc
24,9,0,0,30,Private
90,12,0,1825,50,Private
50,9,0,1902,44,Private
37,9,7688,0,99,Private
31,10,0,0,40,Private
17,7,0,0,40,Private
26,10,0,0,38,Private
41,16,0,0,60,Private
50,9,0,0,60,Self-emp-inc
45,9,0,0,80,Self-emp-not-inc
54,10,0,0,55,Self-emp-not-inc
54,9,0,0,40,Private
38,9,0,0,40,Private
22,9,0,0,38,Private
43,9,0,0,40,Private
30,13,0,0,40,Private
42,9,3325,0,40,Private
48,10,0,0,40,Private
56,10,0,0,35,Private
21,10,0,0,36,Local-gov
45,13,0,0,40,Private
37,15,0,0,40,Private
38,13,0,0,30,Local-gov
34,10,0,0,50,Private
29,9,0,0,40,Private
24,9,0,0,40,Private
35,12,0,0,55,Private
39,6,0,0,70,Self-emp-not-inc
73,4,0,0,12,Self-emp-not-inc
57,11,0,0,40,Private
35,13,0,0,50,Self-emp-inc
60,9,0,0,32,Private
54,9,0,0,40,Private
53,13,0,0,40,Self-emp-not-inc
23,10,0,0,40,Private
57,10,0,0,48,Self-emp-not-inc
27,6,0,0,48,Self-emp-not-inc
25,9,0,0,40,Private
38,9,0,0,40,Private
48,10,0,0,60,Private
24,9,0,0,45,Private
67,10,0,0,40,Self-emp-inc
20,9,0,0,35,Private
38,16,0,0,40,Private
54,4,0,0,40,Private
20,10,0,0,40,Self-emp-not-inc
57,6,0,0,55,Private
34,13,0,0,44,Federal-gov
34,9,0,0,49,Private
80,9,0,0,16,Private
40,9,0,0,40,Private
19,7,0,0,35,Local-gov
35,10,0,0,56,Private
21,9,0,0,40,Private
59,7,0,0,40,Local-gov
53,10,0,0,40,Private
41,11,3103,0,40,Self-emp-not-inc
59,9,0,0,55,Private
52,2,0,0,40,Private
48,3,0,0,40,Private
24,8,0,0,40,Private
49,15,0,0,40,Private
19,9,0,0,50,Private
50,9,0,0,40,Private
39,12,0,0,60,Private
25,9,0,0,40,Private
66,4,0,0,40,Private
30,10,4416,0,40,Private
49,14,15024,0,80,Private
40,10,0,0,45,Self-emp-not-inc
38,6,0,0,40,Private
25,7,0,0,40,Private
51,9,0,0,37,State-gov
23,13,0,0,40,Local-gov
60,5,0,1887,67,Self-emp-not-inc
44,9,27828,0,60,Private
53,15,25236,0,60,Self-emp-not-inc
66,13,0,0,20,Self-emp-not-inc
44,11,0,0,40,Local-gov
38,9,0,0,40,Private
30,13,0,0,40,Private
36,9,3674,0,42,Private
38,10,0,0,40,Local-gov
31,13,0,0,45,Federal-gov
26,7,0,0,35,Private
23,10,0,0,25,Private
58,13,0,0,40,State-gov
44,13,3137,0,40,Self-emp-not-inc
59,15,99999,0,40,Self-emp-inc
36,10,0,0,40,Local-gov
42,10,8614,0,52,Private
17,7,0,0,20,Private
59,6,0,0,15,Local-gov
22,10,0,0,40,Private
40,13,0,0,45,Private
36,13,0,0,40,Private
49,9,0,1977,25,Private
38,9,0,0,25,Self-emp-not-inc
48,9,0,0,40,Private
33,12,0,0,46,Private
34,11,0,0,40,Self-emp-not-inc
58,9,0,0,40,Local-gov
52,6,0,0,40,Private
45,10,0,1887,47,Local-gov
37,4,0,0,40,Private
48,9,0,0,40,Private
40,13,0,0,40,Federal-gov
29,13,0,0,45,Private
33,11,0,0,10,Private
48,9,0,0,48,Private
36,13,0,0,40,Self-emp-not-inc
31,10,0,0,35,Private
41,10,0,0,50,Self-emp-not-inc
29,13,0,0,40,Federal-gov
20,10,0,0,40,Private
53,13,7298,0,40,Federal-gov
37,9,0,0,40,Private
28,13,0,0,35,Private
27,13,0,0,40,Private
23,10,0,0,40,Private
25,11,0,0,56,Private
63,10,0,0,38,Private
65,10,0,0,18,Self-emp-not-inc
77,9,0,0,40,Private
32,9,0,0,40,Private
40,9,0,0,40,Private
