age,educational-num,hours-per-week,workclass
41,10,40,Private
41,9,40,Private
69,9,25,Private
48,16,40,Federal-gov
28,9,40,Private
27,9,60,Self-emp-not-inc
41,14,50,Private
41,10,40,Private
24,9,40,Private
42,16,41,Self-emp-inc
57,9,48,Private
30,12,40,Private
36,9,60,Private
49,4,40,Private
33,9,35,Private
23,6,40,Private
46,14,40,Private
18,10,22,Private
40,9,55,Private
43,9,45,Self-emp-inc
34,14,30,Private
47,9,30,Self-emp-not-inc
44,11,30,Private
33,9,40,Private
55,13,50,Private
19,9,30,Private
28,10,14,Private
27,7,32,Private
50,4,20,Private
22,7,40,Private
40,13,45,State-gov
25,10,40,Private
26,9,40,Local-gov
22,13,25,Private
42,10,40,Private
38,13,40,Self-emp-inc
55,7,30,Private
32,9,40,Private
22,9,45,Private
29,13,40,Private
46,14,45,State-gov
31,10,40,Private
58,16,16,Self-emp-not-inc
42,9,45,Private
18,9,25,Private
58,9,33,Local-gov
54,9,40,Private
34,14,40,Private
26,13,40,Private
61,8,60,Private
48,14,40,Local-gov
36,10,45,Private
24,11,45,Private
40,10,37,Private
33,9,50,Self-emp-inc
37,10,40,Private
34,14,40,Private
56,10,40,Self-emp-inc
37,13,55,Private
44,9,40,Private
54,9,45,Private
23,9,50,Private
22,9,45,Private
33,13,40,Private
39,13,50,Private
47,10,37,Private
26,9,55,Private
31,10,40,Private
44,10,45,Private
42,15,50,Self-emp-inc
19,9,40,Private
27,9,40,Private
51,10,40,Local-gov
28,13,50,Self-emp-inc
57,13,45,Private
45,13,40,Local-gov
50,11,40,Private
34,13,54,Self-emp-inc
45,4,40,Private
73,9,20,Local-gov
34,13,50,Private
31,10,55,Private
19,7,12,Private
25,10,50,Private
38,11,40,Federal-gov
39,13,40,Private
23,13,32,Private
49,9,40,Private
33,9,32,Federal-gov
21,3,38,Private
31,11,40,Private
23,13,45,Private
34,13,40,Private
25,9,40,Private
39,9,40,Private
52,9,40,Self-emp-inc
63,5,40,Local-gov
41,10,40,Private
46,13,38,Private
53,9,40,Local-gov
18,8,40,Private
38,15,50,Private
55,14,50,Private
34,9,40,Private
80,9,30,Self-emp-not-inc
34,11,60,Private
52,10,40,Private
42,9,28,Private
26,10,40,Private
31,9,40,Private
25,9,35,Local-gov
55,9,60,Self-emp-not-inc
19,10,12,Private
62,10,32,Self-emp-not-inc
22,10,20,Federal-gov
35,9,40,Private
28,9,40,Private
47,9,70,Private
44,9,40,State-gov
21,10,15,Private
35,11,50,Private
24,13,40,Private
28,13,50,Private
21,10,35,Private
62,10,40,Federal-gov
39,9,40,Private
30,9,40,State-gov
72,15,20,Self-emp-not-inc
50,10,50,Private
28,14,40,Local-gov
29,10,40,Private
26,13,40,Private
27,14,40,Private
29,10,40,Private
29,6,25,Private
31,7,20,Private
25,9,75,Private
58,6,40,Private
64,10,40,Private
46,14,38,State-gov
19,9,35,Private
42,9,52,Private
18,7,24,Private
58,13,50,Self-emp-inc
20,10,60,Private
35,9,40,Federal-gov
32,9,38,Private
23,9,25,Private
31,10,40,Private
33,13,55,Private
41,10,48,Private
22,9,40,Private
46,10,40,Private
61,10,40,Federal-gov
30,9,40,Private
42,9,55,Private
63,6,40,Private
26,10,40,Private
42,6,40,Private
23,10,40,Private
25,9,40,Private
30,5,32,Private
23,9,40,Private
34,11,60,Self-emp-not-inc
30,9,48,Private
39,10,40,Private
30,7,38,Private
38,10,38,Local-gov
26,9,40,Private
20,10,16,Private
33,9,40,Private
24,13,40,Private
42,13,60,Self-emp-inc
51,9,84,Self-emp-not-inc
56,12,45,Local-gov
22,10,40,Private
52,10,60,Self-emp-not-inc
44,13,45,Private
34,9,35,Private
51,10,42,Private
19,10,25,Private
37,13,40,Private
68,9,40,Private
22,10,40,Private
56,13,40,Self-emp-inc
37,9,40,Private
52,2,40,Private
26,9,40,Private
33,14,50,Private
45,14,42,Local-gov
18,7,15,Private
43,10,60,Self-emp-not-inc
18,9,20,Private
57,9,40,Private
41,9,42,Private
34,14,50,Private
19,9,40,Private
44,5,55,Private
56,6,40,Private
36,9,80,Self-emp-inc
48,13,48,Private
29,9,40,Private
33,13,40,Private
31,3,40,Private
39,14,45,Private
66,9,40,Private
27,13,50,Private
39,9,40,Private
59,4,50,Private
26,9,40,Private
31,11,40,Private
23,9,30,Private
36,9,40,Local-gov
34,10,12,Private
32,9,84,Private
37,13,50,Private
33,13,45,Private
50,15,80,Self-emp-not-inc
32,12,40,Federal-gov
35,13,40,Private
37,7,40,Private
44,10,60,Private
57,10,25,Private
29,10,40,Local-gov
55,9,50,Private
43,15,25,Self-emp-inc
43,10,70,Private
45,10,60,Self-emp-not-inc
33,14,8,Self-emp-not-inc
26,6,40,Private
23,10,68,Private
41,4,40,Private
24,9,40,Private
47,13,44,Self-emp-not-inc
34,9,45,Self-emp-not-inc
40,9,40,Private
28,13,40,Private
24,9,40,Private
23,9,15,Private
43,9,40,Self-emp-not-inc
26,13,40,Private
58,16,35,Self-emp-not-inc
52,9,35,Private
29,7,99,Private
47,7,35,Private
49,9,37,Private
40,7,40,Private
62,9,40,Self-emp-not-inc
49,9,55,Private
50,13,50,Private
31,9,40,Private
48,14,50,Local-gov
24,9,40,Private
37,9,60,Private
45,13,45,Private
36,14,45,Private
45,13,40,Private
41,13,40,Private
26,12,20,Private
17,7,25,Private
43,9,65,Private
35,9,55,Private
38,13,40,Private
26,9,40,Private
28,10,40,Private
38,13,24,Private
36,7,40,Private
33,9,40,Private
19,9,70,Private
42,6,40,Federal-gov
50,6,40,Private
30,9,30,Private
37,10,40,State-gov
54,15,40,Self-emp-inc
52,13,40,Self-emp-inc
33,9,40,Private
25,10,40,Private
24,13,45,Private
26,11,40,Private
39,9,40,Private
59,9,40,Private
29,10,40,Private
47,7,45,Private
64,9,50,Self-emp-inc
21,9,20,Private
32,10,40,Private
26,9,37,Private
62,14,40,Self-emp-not-inc
32,13,55,Private
45,9,60,Self-emp-not-inc
31,13,50,Private
32,9,40,Private
24,13,40,Private
25,13,40,Private
41,9,60,Self-emp-not-inc
18,10,20,Private
44,16,55,Private
40,10,50,Private
27,13,40,Private
23,13,40,Private
21,10,40,Private
37,9,40,State-gov
65,9,48,Self-emp-not-inc
43,14,40,Federal-gov
45,9,44,Private
24,13,40,State-gov
24,10,42,Private
19,10,35,Local-gov
37,13,65,Private
24,9,35,Private
34,10,40,Private
50,9,39,State-gov
36,9,40,Private
39,13,60,Private
44,4,38,Self-emp-not-inc
45,9,40,State-gov
32,7,40,State-gov
47,14,40,Federal-gov
50,9,40,Private
32,11,40,Private
19,9,40,Private
28,9,50,Private
39,14,40,Federal-gov
21,10,40,Private
73,10,75,Self-emp-not-inc
39,4,40,Private
25,10,40,Private
31,10,20,Private
51,10,32,Private
39,13,28,Private
31,13,40,Private
21,10,17,Private
46,13,50,Private
73,9,35,Private
41,9,40,Private
20,9,40,Private
27,12,30,Private
24,13,35,Private
20,10,40,Private
39,11,40,Private
27,13,28,Private
33,7,60,Private
33,9,40,Private
36,5,40,State-gov
55,10,36,Private
19,10,40,Private
35,9,60,Private
34,3,40,Private
62,15,35,State-gov
33,10,40,Self-emp-not-inc
39,5,55,Private
36,10,40,Local-gov
41,13,33,Private
39,9,60,Self-emp-not-inc
18,9,10,Private
61,10,45,Private
20,11,36,Federal-gov
35,9,65,Self-emp-not-inc
27,9,40,Private
66,6,38,Private
21,9,40,Private
20,10,18,Private
34,10,40,Private
31,9,40,Private
41,16,60,Private
64,2,45,State-gov
32,13,40,Private
30,9,50,Local-gov
36,13,72,Self-emp-not-inc
22,10,12,Private
53,10,50,Local-gov
50,9,40,Private
36,13,40,Private
41,7,40,Self-emp-inc
55,13,35,Private
38,13,50,Private
28,13,50,Private
24,13,37,Local-gov
60,10,40,Private
54,6,40,Private
27,9,60,Self-emp-inc
30,14,30,Private
54,9,45,Private
44,10,40,Private
52,9,60,Private
18,7,20,Private
55,4,50,Private
35,13,50,Private
37,13,40,Private
22,10,40,Private
45,13,45,Private
38,13,60,Private
48,13,40,Private
35,11,40,Private
21,11,50,Private
37,9,60,Self-emp-not-inc
18,7,25,Private
26,6,35,Private
48,13,50,Self-emp-inc
51,10,40,Private
52,10,40,Private
32,13,40,State-gov
39,13,60,Self-emp-not-inc
51,13,40,Private
54,13,50,Private
21,10,25,Private
43,9,40,Private
32,10,40,Private
31,14,35,State-gov
26,10,60,Private
35,9,40,Private
73,3,54,Private
25,13,40,Self-emp-not-inc
58,11,65,Self-emp-not-inc
32,9,37,Private
28,13,40,Private
41,14,30,Self-emp-not-inc
53,9,48,Self-emp-not-inc
49,9,35,Private
55,13,40,Private
29,10,50,Private
28,11,80,Self-emp-not-inc
44,9,45,Private
41,14,45,Private
26,11,45,Private
23,9,40,Private
37,13,40,Self-emp-not-inc
23,13,50,Private
33,10,40,Private
44,9,40,Private
21,10,30,Private
36,7,40,Private
44,13,40,Local-gov
23,9,40,Private
26,9,40,Private
32,3,40,Private
31,10,40,Private
50,9,35,Local-gov
18,10,20,Self-emp-inc
49,13,50,Private
59,9,40,Private
38,9,28,Private
50,10,55,Self-emp-inc
51,10,55,Self-emp-inc
22,10,35,Private
54,9,40,Private
37,9,40,Private
31,13,60,Private
67,13,40,State-gov
21,10,40,Private
30,9,40,Private
32,10,50,Local-gov
36,11,40,Private
33,13,40,Local-gov
37,9,56,Private
29,15,48,Private
26,10,40,Private
51,4,40,Private
39,9,40,Private
18,9,30,Private
52,8,40,Private
31,10,40,Private
45,13,53,Private
38,10,38,Private
21,12,35,Private
33,9,40,Private
39,10,40,Private
31,9,40,Private
43,13,50,Private
33,13,45,Self-emp-inc
49,9,60,Self-emp-not-inc
41,9,40,Private
55,10,40,Self-emp-not-inc
52,10,37,Private
42,13,40,Private
24,10,30,Private
42,9,52,Private
41,13,40,State-gov
35,9,40,Private
54,14,42,Federal-gov
24,3,40,Private
57,13,40,Federal-gov
58,14,40,State-gov
32,9,40,Private
22,9,25,Private
20,9,25,Private
26,9,20,Local-gov
33,7,40,Private
19,6,40,Private
50,9,20,Self-emp-not-inc
32,9,40,Private
51,13,40,Local-gov
18,10,20,Private
35,14,50,Federal-gov
46,9,55,Private
37,9,45,Private
45,10,20,Private
63,5,32,Private
53,9,10,Private
24,9,40,Private
47,9,40,Private
41,9,40,Private
27,9,40,Private
35,9,75,Self-emp-inc
19,10,24,Private
47,10,35,Private
25,13,40,Federal-gov
59,15,40,Local-gov
28,6,40,Private
17,6,20,Private
21,10,50,Private
31,9,40,Private
49,9,40,Private
48,14,50,Local-gov
60,16,20,Self-emp-not-inc
33,8,40,Self-emp-not-inc
40,9,40,Private
42,10,52,Private
34,9,40,Private
38,11,52,Federal-gov
58,10,70,Self-emp-not-inc
52,10,55,Private
22,10,40,Local-gov
24,13,35,Private
39,9,40,Private
41,14,55,Private
56,5,40,Private
21,9,40,Private
29,9,25,Private
45,11,10,Private
44,10,80,Local-gov
54,14,45,Private
24,10,40,Private
40,13,50,Private
43,13,60,State-gov
41,7,40,Self-emp-not-inc
32,11,40,Private
31,13,25,Private
26,9,40,Private
50,13,40,State-gov
62,11,40,Self-emp-inc
24,9,45,Private
58,13,65,Private
44,10,40,Self-emp-inc
44,8,40,Private
37,10,50,Self-emp-inc
65,4,40,Self-emp-not-inc
33,9,40,Private
56,14,60,Self-emp-not-inc
35,14,48,Private
33,13,40,Private
35,13,48,Private
47,10,60,Self-emp-not-inc
35,5,96,Self-emp-not-inc
56,10,40,Private
29,14,40,Self-emp-inc
53,15,50,Self-emp-inc
42,11,25,Private
24,13,50,Private
33,9,40,Private
42,6,45,Private
38,10,50,State-gov
32,9,40,Private
20,4,20,Self-emp-not-inc
32,9,50,Private
28,10,40,Local-gov
51,9,55,Private
41,9,30,Local-gov
37,12,50,Local-gov
23,9,40,Private
40,9,40,Private
47,6,40,Private
46,9,50,Self-emp-not-inc
24,13,40,Private
40,9,28,Private
30,9,60,Self-emp-not-inc
41,15,52,State-gov
37,13,45,State-gov
49,9,40,Federal-gov
41,13,50,Federal-gov
52,11,35,Local-gov
23,10,50,Private
34,9,40,Private
25,13,40,State-gov
44,9,45,Self-emp-inc
31,9,33,Local-gov
53,13,40,Private
62,9,50,Private
35,13,55,Private
30,13,40,Federal-gov
48,9,40,State-gov
36,13,40,Private
32,7,33,Private
22,10,28,Private
19,9,40,Private
26,9,40,Private
56,10,35,State-gov
45,4,21,Private
23,10,40,Private
31,9,40,Private
30,7,8,Private
42,9,35,Private
27,15,60,State-gov
37,13,50,Private
31,9,60,Private
33,13,40,Private
64,1,40,Private
32,9,40,Private
37,10,40,Private
25,7,40,Private
49,9,40,Private
36,13,40,Private
67,10,15,Private
54,9,40,Private
45,16,40,Local-gov
30,10,40,Private
39,9,40,State-gov
57,6,20,Private
57,6,40,Private
23,9,40,Self-emp-not-inc
49,9,40,Local-gov
46,13,10,State-gov
41,13,43,State-gov
44,11,45,Private
25,13,30,Private
34,13,45,Local-gov
24,13,25,Private
32,13,45,Private
27,9,50,Local-gov
67,8,40,Private
36,9,40,Private
40,10,48,Private
24,9,40,Private
46,13,40,Private
44,9,38,State-gov
23,10,40,Self-emp-not-inc
46,15,90,Private
31,11,40,Private
21,10,40,Local-gov
61,9,40,Private
71,9,15,Self-emp-not-inc
42,13,40,Private
21,10,16,State-gov
21,1,25,Private
28,13,60,Local-gov
27,12,37,Local-gov
32,10,25,Private
47,9,40,Private
22,12,35,Private
56,9,40,Private
20,9,40,Private
30,10,40,Private
22,10,25,Private
28,11,45,Private
50,14,55,Private
66,9,10,State-gov
38,10,46,Private
62,8,30,Private
36,14,40,Federal-gov
47,6,35,Private
25,9,40,Private
26,10,40,Private
37,7,40,Private
70,4,8,Self-emp-not-inc
52,7,40,Private
70,5,18,Private
19,9,40,State-gov
23,7,3,Private
37,7,40,Private
45,10,40,State-gov
29,13,50,Private
56,13,20,Self-emp-not-inc
50,14,40,Private
20,9,30,Private
26,13,40,Private
41,15,60,Self-emp-inc
21,9,40,Private
48,3,50,Self-emp-not-inc
22,10,40,Private
37,12,35,State-gov
47,10,30,Private
61,13,40,Private
47,14,40,Local-gov
37,9,25,Private
46,11,40,State-gov
42,9,48,Self-emp-not-inc
41,9,40,Private
33,5,40,Local-gov
27,12,40,Private
40,13,39,Federal-gov
56,6,40,Private
35,16,55,Federal-gov
24,11,40,Private
73,10,1,Self-emp-not-inc
36,10,50,Private
31,13,50,Private
36,9,40,Private
37,9,40,Private
26,13,55,Private
20,9,40,Private
58,13,40,Private
45,13,40,State-gov
31,13,40,Private
44,15,60,Private
19,10,30,Local-gov
54,9,50,Private
31,14,40,State-gov
27,9,35,Private
36,10,40,Private
47,10,40,Federal-gov
35,13,45,Private
42,2,55,Private
45,13,40,Private
70,9,40,Private
27,8,44,Local-gov
36,9,60,Private
23,9,40,Private
25,13,50,Private
45,10,45,Self-emp-not-inc
24,9,30,Private
90,12,50,Private
50,9,44,Private
37,9,99,Private
31,10,40,Private
17,7,40,Private
26,10,38,Private
41,16,60,Private
50,9,60,Self-emp-inc
45,9,80,Self-emp-not-inc
54,10,55,Self-emp-not-inc
54,9,40,Private
38,9,40,Private
22,9,38,Private
43,9,40,Private
30,13,40,Private
42,9,40,Private
48,10,40,Private
56,10,35,Private
21,10,36,Local-gov
45,13,40,Private
37,15,40,Private
38,13,30,Local-gov
34,10,50,Private
29,9,40,Private
24,9,40,Private
35,12,55,Private
39,6,70,Self-emp-not-inc
73,4,12,Self-emp-not-inc
57,11,40,Private
35,13,50,Self-emp-inc
60,9,32,Private
54,9,40,Private
53,13,40,Self-emp-not-inc
23,10,40,Private
57,10,48,Self-emp-not-inc
27,6,48,Self-emp-not-inc
25,9,40,Private
38,9,40,Private
48,10,60,Private
24,9,45,Private
67,10,40,Self-emp-inc
20,9,35,Private
38,16,40,Private
54,4,40,Private
20,10,40,Self-emp-not-inc
57,6,55,Private
34,13,44,Federal-gov
34,9,49,Private
80,9,16,Private
40,9,40,Private
19,7,35,Local-gov
35,10,56,Private
21,9,40,Private
59,7,40,Local-gov
53,10,40,Private
41,11,40,Self-emp-not-inc
59,9,55,Private
52,2,40,Private
48,3,40,Private
24,8,40,Private
49,15,40,Private
19,9,50,Private
50,9,40,Private
39,12,60,Private
25,9,40,Private
66,4,40,Private
30,10,40,Private
49,14,80,Private
40,10,45,Self-emp-not-inc
38,6,40,Private
25,7,40,Private
51,9,37,State-gov
23,13,40,Local-gov
60,5,67,Self-emp-not-inc
44,9,60,Private
53,15,60,Self-emp-not-inc
66,13,20,Self-emp-not-inc
44,11,40,Local-gov
38,9,40,Private
30,13,40,Private
36,9,42,Private
38,10,40,Local-gov
31,13,45,Federal-gov
26,7,35,Private
23,10,25,Private
58,13,40,State-gov
44,13,40,Self-emp-not-inc
59,15,40,Self-emp-inc
36,10,40,Local-gov
42,10,52,Private
17,7,20,Private
59,6,15,Local-gov
22,10,40,Private
40,13,45,Private
36,13,40,Private
49,9,25,Private
38,9,25,Self-emp-not-inc
48,9,40,Private
33,12,46,Private
34,11,40,Self-emp-not-inc
58,9,40,Local-gov
52,6,40,Private
45,10,47,Local-gov
37,4,40,Private
48,9,40,Private
40,13,40,Federal-gov
29,13,45,Private
33,11,10,Private
48,9,48,Private
36,13,40,Self-emp-not-inc
31,10,35,Private
41,10,50,Self-emp-not-inc
29,13,40,Federal-gov
20,10,40,Private
53,13,40,Federal-gov
37,9,40,Private
28,13,35,Private
27,13,40,Private
23,10,40,Private
25,11,56,Private
63,10,38,Private
65,10,18,Self-emp-not-inc
77,9,40,Private
32,9,40,Private
40,9,40,Private
67,9,40,Private
24,14,40,Local-gov
53,16,50,State-gov
37,14,40,Self-emp-inc
44,10,40,State-gov
17,7,20,Private
47,11,60,Private
62,6,40,Federal-gov
39,12,60,Private
32,10,40,State-gov
25,13,40,Private
30,9,65,Private
47,14,50,Private
40,6,40,Private
38,9,40,Private
41,14,40,State-gov
21,10,20,Private
32,12,48,State-gov
54,4,50,Private
31,1,25,Private
42,11,40,Private
23,6,40,Private
18,9,33,Private
37,10,50,Private
53,12,40,State-gov
50,9,84,Private
64,9,40,Private
55,14,60,Private
63,13,40,Private
53,10,45,Private
18,7,40,Private
33,7,40,Private
62,7,40,Private
56,14,48,Private
58,14,43,State-gov
33,6,38,Private
58,9,45,Private
44,13,50,Private
81,4,40,Private
28,9,35,Private
28,9,40,Private
43,13,45,Private
51,9,40,Private
23,10,52,Private
48,9,45,Self-emp-not-inc
45,13,48,Self-emp-inc
48,6,70,Private
37,9,16,State-gov
34,14,50,Private
63,10,60,Self-emp-not-inc
38,4,40,Private
29,9,40,Private
33,5,40,Private
47,3,40,Private
30,5,30,Private
35,10,40,Private
54,13,40,Self-emp-inc
26,14,50,Private
39,9,54,Private
34,9,40,State-gov
55,13,40,Private
33,11,76,Self-emp-not-inc
17,4,36,Private
27,6,38,Private
53,5,41,Private
43,10,40,Private
22,9,40,Private
52,13,50,Private
60,4,40,Private
55,13,65,Self-emp-not-inc
39,9,40,Private
29,13,40,Private
41,9,50,Self-emp-not-inc
61,9,40,Private
71,6,40,Federal-gov
20,10,35,Private
33,13,40,Private
52,9,40,Private
40,10,40,Private
31,15,99,Local-gov
42,13,50,Private
63,9,21,Private
53,7,45,Private
34,6,40,State-gov
48,10,40,Private
49,9,24,Private
28,13,55,Local-gov
44,15,60,Private
27,9,40,Private
49,3,20,Private
34,4,30,Private
27,13,35,Self-emp-not-inc
38,10,36,Self-emp-not-inc
24,13,40,Private
29,10,48,Private
39,9,40,Private
50,14,40,Private
42,9,42,Private
44,14,40,State-gov
58,9,40,Private
25,10,50,Private
23,10,35,Private
20,10,40,Private
46,10,45,Self-emp-not-inc
21,9,35,Private
63,6,40,Private
38,12,40,Private
27,10,55,Private
41,14,50,Private
43,13,50,Private
39,13,40,State-gov
56,15,45,Self-emp-inc
44,16,60,State-gov
24,10,40,Private
49,12,40,Private
38,11,70,Private
36,9,35,Self-emp-not-inc
50,9,40,Private
46,10,52,Private
41,13,10,Local-gov
46,8,40,Private
44,15,50,Private
35,10,50,Private
44,12,45,Self-emp-not-inc
51,9,50,Private
74,4,35,Local-gov
32,9,35,Private
22,10,30,Private
47,9,40,Private
32,8,40,Private
64,10,25,Federal-gov
44,14,25,Private
59,13,40,Private
34,9,35,Private
54,13,40,Private
33,10,30,Private
44,2,60,Private
31,10,40,Private
30,9,40,State-gov
18,7,17,Private
56,15,55,Self-emp-not-inc
24,9,40,Private
23,10,40,Private
51,7,40,Private
24,13,20,Private
39,9,40,Federal-gov
49,9,40,Self-emp-not-inc
42,14,45,State-gov
51,14,39,Local-gov
20,10,24,Private
49,6,40,Private
31,15,50,Private
41,10,40,Private
35,9,60,Private
35,11,42,Private
46,14,8,Private
35,9,60,Private
21,10,20,Private
45,8,40,Private
37,12,40,Local-gov
45,12,40,Self-emp-inc
18,6,24,Private
53,10,45,Self-emp-not-inc
24,13,40,Local-gov
35,9,40,Private
28,9,40,Private
50,9,56,Private
38,9,50,Private
34,9,40,Local-gov
53,10,32,Private
46,12,45,Private
50,10,45,Private
45,10,40,Private
29,11,23,Private
41,13,40,Private
43,13,50,Self-emp-not-inc
29,10,56,Private
53,10,45,Private
24,9,40,Private
35,9,40,Private
25,10,30,Private
43,11,56,Local-gov
38,6,45,Private
64,4,35,Private
37,13,40,Private
48,9,35,Private
27,9,50,Self-emp-not-inc
45,13,40,Private
41,14,38,Private
42,5,40,Private
29,13,50,Private
29,9,49,Private
71,13,30,Self-emp-inc
29,6,40,Federal-gov
23,13,16,State-gov
28,13,2,Private
55,13,40,Private
47,13,40,State-gov
33,9,40,Private
35,8,40,Local-gov
42,13,45,Self-emp-inc
33,9,40,Private
30,14,40,Private
37,10,40,Private
46,10,35,Self-emp-not-inc
42,9,40,Private
28,14,58,Private
36,9,40,Private
39,9,40,Private
27,9,40,Private
57,9,38,Private
50,9,12,Private
63,10,40,Private
44,10,50,Private
38,6,40,Private
30,10,40,Self-emp-not-inc
20,10,25,Private
44,15,50,Self-emp-not-inc
24,9,40,Private
26,10,40,Private
42,10,70,Self-emp-not-inc
54,9,40,Private
45,10,45,State-gov
37,2,40,Private
30,13,40,Federal-gov
36,10,40,Private
19,5,50,Private
22,12,40,Private
65,9,40,Federal-gov
36,9,30,Self-emp-not-inc
22,9,40,Private
28,11,50,Private
30,13,40,State-gov
47,10,55,Private
29,10,40,Private
36,9,40,Private
30,13,40,Private
52,14,60,Private
62,9,40,Private
42,14,55,Private
33,9,40,Private
17,7,26,Private
54,9,40,Private
41,9,40,Private
45,14,45,State-gov
37,10,15,State-gov
21,9,34,Private
29,13,40,Private
18,9,40,State-gov
62,9,40,Private
19,10,20,Private
62,4,35,Private
58,13,40,Local-gov
34,10,50,Private
62,7,50,Private
23,10,12,Private
37,13,50,Private
42,12,46,Private
21,7,40,Private
41,13,40,Private
27,7,40,Private
37,13,40,Private
40,9,45,Private
62,4,40,Local-gov
29,10,40,Private
33,14,50,Private
53,9,40,Private
64,11,40,Private
60,10,48,Private
47,7,40,Private
45,14,40,State-gov
33,11,40,Private
29,13,45,Private
57,4,40,Private
19,9,35,Private
63,3,25,Self-emp-inc
42,12,40,Private
38,13,50,Self-emp-not-inc
34,6,40,Private
35,4,40,Private
38,13,8,Private
52,10,40,State-gov
32,10,40,Private
67,16,60,Private
26,14,40,Private
58,14,60,Private
48,11,40,Private
25,13,40,Private
25,13,48,Private
25,10,50,Private
18,9,12,Private
36,9,60,Private
45,7,50,Self-emp-not-inc
34,9,40,Private
68,13,40,Self-emp-inc
37,10,50,Private
21,10,15,Private
49,10,40,Private
39,14,50,Local-gov
41,16,40,Private
35,14,50,Private
29,10,40,Local-gov
54,13,40,Local-gov
18,7,30,Private
30,10,40,Private
23,9,40,Local-gov
36,9,50,Private
34,10,45,Private
39,11,60,Self-emp-not-inc
26,6,40,Local-gov
78,10,40,Private
28,10,40,Private
51,10,40,Private
33,10,50,Local-gov
34,13,40,Private
33,15,50,Self-emp-not-inc
28,14,60,Private
55,5,4,Private
30,11,45,Private
45,9,40,Private
46,11,40,Private
17,7,7,Private
40,7,40,Private
44,14,50,Local-gov
56,9,40,Private
69,12,40,Self-emp-inc
41,2,40,Private
47,7,40,Local-gov
33,7,40,Private
25,13,20,State-gov
42,4,35,Private
24,11,40,Private
48,13,40,Federal-gov
82,4,40,Self-emp-inc
36,9,40,Private
34,15,40,Private
28,9,40,Private
65,10,40,Private
66,10,60,Self-emp-not-inc
40,10,30,Private
37,3,40,Private
34,13,40,Private
41,14,20,Self-emp-not-inc
43,14,50,Private
20,9,45,Private
59,14,10,Private
48,9,40,Private
45,11,40,State-gov
28,9,48,Private
43,13,35,Private
18,10,15,Private
55,16,60,Self-emp-inc
21,9,40,Local-gov
47,13,40,Private
45,12,40,Private
61,9,40,Private
23,6,40,Private
44,14,40,State-gov
45,9,50,Private
35,13,40,State-gov
49,13,50,Private
40,13,40,Private
28,14,40,Self-emp-not-inc
33,10,60,Self-emp-inc
31,11,40,State-gov
38,12,40,Local-gov
62,6,35,Private
40,9,40,Private
61,9,40,Private
42,14,40,Federal-gov
32,13,45,Local-gov
52,9,40,Private
34,9,40,Private
37,12,50,Private
30,13,45,Private
27,11,40,Private
25,9,35,Private
32,10,50,Private
47,13,60,Self-emp-inc
43,10,38,Private
50,14,36,Local-gov
42,12,40,Federal-gov
31,7,30,Private
43,9,30,Private
37,9,17,Private
58,13,40,Private
32,10,38,Private
35,14,38,Private
40,10,60,Self-emp-not-inc
